#Strain	Comment
1068112	Monsanto Technology, LLC, PVP 201700324
1068124	Monsanto Technology, LLC, PVP 201700325
1068135	Monsanto Technology, LLC, PVP 201700326
1068891	Monsanto Technology, LLC, PVP 201700315
1068895	Monsanto Technology, LLC, PVP 201700316
1335025	Monsanto Technology, LLC, PVP 200700122
1336024	Monsanto Technology, LLC, PVP 200600150
1339013	Monsanto Technology, LLC, PVP 200500125
1465003	Monsanto Technology, LLC, PVP 200300195
1486018	Monsanto Technology, LLC, PVP 200600066
1686017	Monsanto Technology, LLC, PVP 200700123
2324990	Monsanto Technology, LLC, PVP 200200035
2386009	Monsanto Technology, LLC, PVP 200400107
2387029	Monsanto Technology, LLC, PVP 200700125
2388028	Monsanto Technology, LLC, PVP 200700124
3133014	Monsanto Technology, LLC, PVP 200500127
3186004	Monsanto Technology, LLC, PVP 200300211
3233021	Monsanto Technology, LLC, PVP 200600149
3235020	Monsanto Technology, LLC, PVP 200600148
3282002	Monsanto Technology, LLC, PVP 200400105
4010165	Monsanto Technology, LLC, PVP 200700139
4136015	Monsanto Technology, LLC, PVP 200500126
4158090	Monsanto Technology, LLC, PVP 200700140
4175567	Monsanto Technology, LLC, PVP 200700141
4183026	Monsanto Technology, LLC, PVP 200600152
4189010	Monsanto Technology, LLC, PVP 200600067
4219527	Monsanto Technology, LLC, PVP 200700142
4247825	Monsanto Technology, LLC, PVP 200700143
4283008	Monsanto Technology, LLC, PVP 200400099
4309194	Monsanto Technology, LLC, PVP 200700144
4353363	Monsanto Technology, LLC, PVP 200700145
4440685	Monsanto Technology, LLC, PVP 200700251
4498438	Monsanto Technology, LLC, PVP 200700146
4559808	Monsanto Technology, LLC, PVP 200700147
4599695	Monsanto Technology, LLC, PVP 200700148
4684181	Monsanto Technology, LLC, PVP 200700149
4782157	Monsanto Technology, LLC, PVP 200700150
4788561	Monsanto Technology, LLC, PVP 200700151
4896902	Monsanto Technology, LLC, PVP 200700281
4958786	Monsanto Technology, LLC, PVP 200700152
5083011	Monsanto Technology, LLC, PVP 200600055
5091007	Monsanto Technology, LLC, PVP 200400106
6084016	Monsanto Technology, LLC, PVP 200500128
6188027	Monsanto Technology, LLC, PVP 200600151
7085005	Monsanto Technology, LLC, PVP 200300196
88154622393	Monsanto Technology, LLC, PVP 9600246
00CY622138	Syngenta
02JR310007	Syngenta
02JR310007BC1	Syngenta
02JR310007BC2	Syngenta
02JR310007BC3	Syngenta
02JR310061	Syngenta
02JR318004	Syngenta
02JR318004BC1	Syngenta
02JR318004BC2	Syngenta
02JR318004BC3	Syngenta
02JR423003	Syngenta
02JR423003BC1	Syngenta
02JR423003BC2	Syngenta
02JR423003BC3	Syngenta
02KG219016	Syngenta
02RM018047	Syngenta
03DL090957	Syngenta
03JR101916	Syngenta
03JR102982	Syngenta
03JR103829	Syngenta
03JR321086	Syngenta
03JR321088	Syngenta
03JR321088BC1	Syngenta
03KG212010	Syngenta
03KL015366	Syngenta
03KL015644	Syngenta
03KL015751	Syngenta
03KL015826	Syngenta
03RM893031	Syngenta
03RM893092	Syngenta
03RM893902	Syngenta
04DL106306	Syngenta
04KG128222	Syngenta
04KL108370	Syngenta
04KL108888	Syngenta
04KL109914	Syngenta
04KL109914BC1	Syngenta
04KL109914BC2	Syngenta
04KL109914BC3	Syngenta
04RM822970	Syngenta
059-903	Introduction
05DL285328	Syngenta
05DL345858	Syngenta
05JR007045	Syngenta
05JR210562	Syngenta
05KL119276	Syngenta
05KL134039	Syngenta
05KL134976	Syngenta
05KL135608	Syngenta
06BR337018	Syngenta
06BR381007	Syngenta
06DL384689	Syngenta
06DL480307	Syngenta
06DL480732	Syngenta
06DL480868	Syngenta
06GK614011	Syngenta
06GK615309	Syngenta
06JR202581	Syngenta
06JR205288	Syngenta
06JR205420	Syngenta
06JR207459	Syngenta
06JR208211	Syngenta
06KG218440	Syngenta
06KL162149	Syngenta
06KL162978	Syngenta
06KL163285	Syngenta
06KL163375	Syngenta
06KL167872	Syngenta
06NB199076	Syngenta
06NB199520	Syngenta
06NB204846	Syngenta
06NB204846BC1	Syngenta
06RM934415	Syngenta
07DL599351	Syngenta
07RE700600	Syngenta
07RG381326	Syngenta
07SG920877	Syngenta
08RST5-10	GP-390
09SCNPOP 11-9	Population ?
09SG050328	Syngenta
09SG050340	Syngenta
118-11	Pioneer Hi-Bred International, Inc., PVP 7700002
17D	Williams 82 was mutagenized
201-14-20	PI 196491 (Fiskeby III sib)
201-8-29	Not in GRIN
29725K	Latham Seed Company, PVP 8800221
38735L	Latham Seed Company, PVP 9000205
4-74-6-3	Insect resistant selection
40-3-2	Monsanto transformed glyphosate resistant line.
408337-BB	Not in GRIN, PI 408337 is in GRIN
435.TCS	From Schillinger Seed Co.
4J105-3-4	NAM Strain
5002T	PVP 200400178; Says Holladay x Manokin
5601T	PVP 200400045
5M20-2-5-2	NAM Strain
5PAAC58	Pioneer Hi-Bred International, Inc., PVP 201700446
5PACK85	Pioneer Hi-Bred International, Inc., PVP 201700445
5PALC58	Pioneer Hi-Bred International, Inc., PVP 201700451
5PBBG02	Pioneer Hi-Bred International, Inc., PVP 201700444
5PBDN11	Pioneer Hi-Bred International, Inc., PVP 201700443
5PBPZ46	Pioneer Hi-Bred International, Inc., PVP 201700441
5PCET67	Pioneer Hi-Bred International, Inc., PVP 201700442
5PCUQ73	Pioneer Hi-Bred International, Inc., PVP 201700439
5PDSD70	Monsanto Technology, LLC, PVP 201700260
5PDZB74	Monsanto Technology, LLC, PVP 201700261
5PDZV57	Pioneer Hi-Bred International, Inc., PVP 201700440
5PEMQ75	Pioneer Hi-Bred International, Inc., PVP 201700438
5PESH71	Pioneer Hi-Bred International, Inc., PVP 201700437
5PEWD78	Pioneer Hi-Bred International, Inc., PVP 201700419
5PFDE97	Pioneer Hi-Bred International, Inc., PVP 201700420
5PFNJ08	Pioneer Hi-Bred International, Inc., PVP 201700421
5PFTN41	Pioneer Hi-Bred International, Inc., PVP 201700422
5PGBK62	Pioneer Hi-Bred International, Inc., PVP 201700423
5PHGS54	Pioneer Hi-Bred International, Inc., PVP 201700424
5PHQP31	Monsanto Technology, LLC, PVP 201700262
5PJSS43	Pioneer Hi-Bred International, Inc., PVP 201700425
5PJTF71	Pioneer Hi-Bred International, Inc., PVP 201700427
5PKGH32	Pioneer Hi-Bred International, Inc., PVP 201700426
5PKJS34	Pioneer Hi-Bred International, Inc., PVP 201700428
5PKLM31	Pioneer Hi-Bred International, Inc., PVP 201700429
5PKPS94	Pioneer Hi-Bred International, Inc., PVP 201700430
5PKYK65	Pioneer Hi-Bred International, Inc., PVP 201700431
5PLAY23	Pioneer Hi-Bred International, Inc., PVP 201700432
5PLET90	Pioneer Hi-Bred International, Inc., PVP 201700433
5PLQE62	Pioneer Hi-Bred International, Inc., PVP 201700434
5PLRT07	Pioneer Hi-Bred International, Inc., PVP 201700436
5PLTA07	Pioneer Hi-Bred International, Inc., PVP 201700435
5PNCZ13	Pioneer Hi-Bred International, Inc., PVP 201700418
5PNEJ50	Pioneer Hi-Bred International, Inc., PVP 201700395
5PNJE71	Pioneer Hi-Bred International, Inc., PVP 201700405
5PNJZ92	Pioneer Hi-Bred International, Inc., PVP 201700403
5PPBF43	Pioneer Hi-Bred International, Inc., PVP 201700404
5PPHU37	Monsanto Technology, LLC, PVP 201700263
5PPRS22	Pioneer Hi-Bred International, Inc., PVP 201700402
5PQNE01	Pioneer Hi-Bred International, Inc., PVP 201700401
5PQNG18	Monsanto Technology, LLC, PVP 201700264
5PSAA27	Pioneer Hi-Bred International, Inc., PVP 201700400
5PSGJ21	Pioneer Hi-Bred International, Inc., PVP 201700399
5PTEG52	Pioneer Hi-Bred International, Inc., PVP 201700398
5PTFH75	Pioneer Hi-Bred International, Inc., PVP 201700397
5PTMG32	Pioneer Hi-Bred International, Inc., PVP 201700396
5PUBM35	Pioneer Hi-Bred International, Inc., PVP 201700415
5PUEE37	Pioneer Hi-Bred International, Inc., PVP 201700413
5PUWT62	Monsanto Technology, LLC, PVP 201700265
5PVCM27	Pioneer Hi-Bred International, Inc., PVP 201700416
5PVED74	Pioneer Hi-Bred International, Inc., PVP 201700417
5PVKC48	Pioneer Hi-Bred International, Inc., PVP 201700406
5PYFS21	Monsanto Technology, LLC, PVP 201700266
5PYMS58	Pioneer Hi-Bred International, Inc., PVP 201700408
5PYQB84	Pioneer Hi-Bred International, Inc., PVP 201700409
5PZCL72	Pioneer Hi-Bred International, Inc., PVP 201700411
5PZCY11	Pioneer Hi-Bred International, Inc., PVP 201700412
5PZHS01	Pioneer Hi-Bred International, Inc., PVP 201700410
5PZVU43	Pioneer Hi-Bred International, Inc., PVP 201700414
6-40M	Mixed seed lot
60524-30575	Midwest Oilseeds, Inc., PVP 8200101
629-22-27	Second cycle selection from D49-24-91 crossed with nine plant introduction strains backcrossed to D49-2491
71229-31008	Midwest Oilseeds, Inc., PVP 8200098
90210-30266	Midwest Oilseeds, Inc., PVP 8200100
90339-30435	Midwest Oilseeds, Inc., PVP 8200099
92546-01td	E. Cobers PhD Thesis
97026-N99-42648	Garst
A Elgin BC	PVP 8800086
A Harper BC	PVP 8800087
A-100	Selection from Capital
A.K.	Introduction; Heterogeneous variety from Northeast China ca. 1917
A.K.-Harrow	Selected from A.K. ca. 1928
A00-711063	Parentage uncertain may be AgriPro AP1953 x LN94-1047, doi: 10.3198/jpr2013.06.0031crc
A1007978	Monsanto Technology, LLC, PVP 200900129
A1015895	Monsanto Technology, LLC, PVP 201100013
A1016011	Monsanto Technology, LLC, PVP 201000401
A1020074	Monsanto Technology, LLC, PVP 201000400
A1020078	Monsanto Technology, LLC, PVP 201000396
A1022842	Monsanto Technology, LLC, PVP 201000430
A1023169	Monsanto Technology, LLC, PVP 201000431
A1023485	Monsanto Technology, LLC, PVP 201000419
A1023486	Monsanto Technology, LLC, PVP 201000416
A1023511	Monsanto Technology, LLC, PVP 201000421
A1023535	Monsanto Technology, LLC, PVP 201000414
A1023603	Monsanto Technology, LLC, PVP 201100020
A1023611	Monsanto Technology, LLC, PVP 201000424
A1023625	Monsanto Technology, LLC, PVP 201000425
A1023673	Monsanto Technology, LLC, PVP 201000435
A1023692	Monsanto Technology, LLC, PVP 201100019
A1023696	Monsanto Technology, LLC, PVP 201000420
A1023729	Monsanto Technology, LLC, PVP 201000423
A1023748	Monsanto Technology, LLC, PVP 201100023
A1023750	Monsanto Technology, LLC, PVP 201000422
A1023761	Monsanto Technology, LLC, PVP 201000411
A1023763	Monsanto Technology, LLC, PVP 201000410
A1023771	Monsanto Technology, LLC, PVP 201000437
A1023788	Monsanto Technology, LLC, PVP 201100011
A1023841	Monsanto Technology, LLC, PVP 201000409
A1023849	Monsanto Technology, LLC, PVP 201000418
A1023943	Monsanto Technology, LLC, PVP 201000438
A1023969	Monsanto Technology, LLC, PVP 201000439
A1024001	Monsanto Technology, LLC, PVP 201000417
